X2,X5,X10
120237.27690760257,117008.63891032351,119933.06240473985
117373.60030645465,124788.24407064613,121579.64879271561
127825.08746580692,113186.01945810553,116897.0613800564
127794.1664382312,122000.75971769847,118255.25640771659
120542.68647620681,121865.12648211232,120939.38553823222
117937.9160089821,115833.427757651,118784.21812574651
120871.08641633172,116294.91879345624,118983.18039289133
120447.41014856986,117922.39476017126,119221.6501880888
126183.3703149791,114238.5523799091,120489.58138401817
118751.82035946549,121505.81460539563,118156.72546140662
127872.52292900298,114915.9895955315,120777.07431701534
122594.11634172461,120413.70015836747,120428.84129785006
121099.00556610162,117293.61590677916,117721.88057010576
118870.19466735564,119279.66375719625,115867.79238572667
117505.59941050434,119841.28254703997,118350.99864033917
132547.33037448194,119143.12530950767,119227.68473535229
122765.44898141176,119926.4318551239,115396.84110968169
125102.60506457098,119067.00394732383,119430.46033740562
128546.79772871947,117528.7246035483,116076.92759796644
121089.21288811986,118811.48587078058,120175.62762907523
127707.78210094076,118167.36970399393,118322.46541705099
120886.97899581649,118996.02948727118,123878.33875579236
125054.5811215456,118088.94152637891,117750.18684238575
129258.82902312497,120489.59940696479,120534.75836993085
125233.083547497,120132.33968457523,115572.05369268438
126691.40574454812,115926.33663611207,116527.49961846766
118267.5684298869,120351.64678959471,114709.70311893332
117870.67210442692,116184.32065885671,118908.67724123031
117160.67240786793,119598.97541008193,120220.57754599195
120000.12249337914,120405.2632189926,118799.64178886538
